Rank,Country,Cancer_Rate
1,Australia,468
2,New Zealand,438.1
3,Ireland,373.7
4,Hungary,368.1
5,United States,352.2
6,Belgium,345.8
7,France,344.1
8,Denmark,340.4
9,Norway,337.8
10,Netherlands,334.1
11,Canada,334
12,France (New Caledonia),324.2
13,United Kingdom,319.2
14,South Korea,313.5
15,Germany,313.1
16,Switzerland,311
17,Luxembourg,309.3
18,Serbia,307.9
19,Slovenia,304.9
20,Latvia,302.2
21,Slovakia,297.5
22,Czech Republic,296.7
23,Sweden,294.7
24,Italy,290.6
25,Croatia,287.2
26,Lithuania,285.8
27,Estonia,283.3
28,Greece,279.8
29,Spain,272.3
30,Finland,266.2
31,Uruguay,263.4
32,Belarus,260.7
33,Portugal,259.5
34,Iceland,257.8
35,France (Guadeloupe),254.6
36,United States (Puerto Rico),254.5
37,Moldova,254.2
38,Poland,253.8
39,Cyprus,250.8
40,France (Martinique),250.8
41,Malta,249.4
42,Singapore,248.9
43,Japan,248
44,Austria,247.7
45,Barbados,247.5
46,France (French Guiana),247
47,Bulgaria,242.8
48,Lebanon,242.8
49,France (French Polynesia),240.6
50,Israel,233.6
